Exp_ID,Num_Orders,Param_N_Auto,Param_Cost_Auto,Param_N_Manual,Total_Cost,Unserved_Rate,Solve_Time_Sec,Status
A_1,50,10,10.0,20,6000.0,0.0,3.76,2
A_2,50,10,10.0,40,6000.0,0.0,3.71,2
A_3,50,10,15.0,20,6000.0,0.0,3.7,2
A_4,50,10,15.0,40,6000.0,0.0,3.67,2
A_5,50,10,20.0,20,6000.0,0.0,3.57,2
A_6,50,10,20.0,40,6000.0,0.0,3.69,2
A_7,50,20,10.0,20,6000.0,0.0,3.64,2
A_8,50,20,10.0,40,6000.0,0.0,3.66,2
A_9,50,20,15.0,20,6000.0,0.0,3.64,2
A_10,50,20,15.0,40,6000.0,0.0,3.66,2
A_11,50,20,20.0,20,6000.0,0.0,3.68,2
A_12,50,20,20.0,40,6000.0,0.0,3.74,2
A_13,50,30,10.0,20,6000.0,0.0,3.68,2
A_14,50,30,10.0,40,6000.0,0.0,3.69,2
A_15,50,30,15.0,20,6000.0,0.0,3.64,2
A_16,50,30,15.0,40,6000.0,0.0,3.69,2
A_17,50,30,20.0,20,6000.0,0.0,3.66,2
A_18,50,30,20.0,40,6000.0,0.0,3.73,2
B_100,100,50,15.0,100,9600.0,0.0,13.31,2
B_200,200,50,15.0,100,18000.0,0.0,311.82,9
B_500,500,50,15.0,100,43200.0,0.0,328.9,9
